backbone,context_id,perturbation,task,dataset,ablation,n_novel_tools,n_kept_tools,n_dropped,tool_context_len,pred,flipped,raw_text
llama70b3_3,askdocs_34,summary,manage,askdocs,full,1,1,0,2000,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,manage,askdocs,no_europepmc,1,0,1,0,YES,True,"MANAGE: yes
VISIT: no
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,manage,askdocs,no_fda_safety,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,manage,askdocs,no_adverse_rx,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,manage,askdocs,no_novel,1,0,1,0,YES,True,"MANAGE: yes
VISIT: no
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,manage,askdocs,full,1,1,0,1869,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,manage,askdocs,no_europepmc,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,manage,askdocs,no_fda_safety,1,1,0,1193,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,manage,askdocs,no_adverse_rx,1,1,0,1175,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,manage,askdocs,no_novel,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,manage,askdocs,full,5,5,0,1730,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,manage,askdocs,no_europepmc,5,5,0,2120,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,manage,askdocs,no_fda_safety,5,3,2,1351,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,manage,askdocs,no_adverse_rx,5,4,1,2254,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,manage,askdocs,no_novel,5,0,5,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,manage,askdocs,full,5,5,0,2040,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,manage,askdocs,no_europepmc,5,4,1,2041,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,manage,askdocs,no_fda_safety,5,3,2,1490,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,manage,askdocs,no_adverse_rx,5,4,1,1884,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,manage,askdocs,no_novel,5,0,5,0,YES,True,"MANAGE: yes
VISIT: no
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,manage,askdocs,full,4,4,0,1857,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,manage,askdocs,no_europepmc,4,3,1,1361,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,manage,askdocs,no_fda_safety,4,2,2,1803,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,manage,askdocs,no_adverse_rx,4,3,1,1441,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,manage,askdocs,no_novel,4,0,4,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_148,uncertain_tone,manage,askdocs,full,1,1,0,1446,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_148,uncertain_tone,manage,askdocs,no_europepmc,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_148,uncertain_tone,manage,askdocs,no_fda_safety,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_148,uncertain_tone,manage,askdocs,no_adverse_rx,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_148,uncertain_tone,manage,askdocs,no_novel,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,manage,askdocs,full,4,4,0,1329,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,manage,askdocs,no_europepmc,4,3,1,1077,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,manage,askdocs,no_fda_safety,4,2,2,1588,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,manage,askdocs,no_adverse_rx,4,3,1,1351,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,manage,askdocs,no_novel,4,0,4,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
