backbone,backbone_key,task,perturbation,context_id,dataset,winner,label,mpa_pred,tu_pred,has_kg,has_novel_tools,kg_anchor,kg_paths,tool_context
Llama 70B,llama70b3_3,manage,summary,askdocs_34,askdocs,MPA,NO,NO,YES,True,True,numb,numb -> expression present -> heart,"[EuropePMC_search_articles] (query=numb expression heart) title: Invasion of Epicardial-Derived Cells to the Trabeculae Mediated by NFPs-Fgf Signaling Regulates Ventricular Compaction.
abstract: <h4>Background</h4>Left ventricular noncompaction cardiomyopathy (LVNC; OMIM No. 604169) is anatomically "
Llama 70B,llama70b3_3,manage,summary,askdocs_96,askdocs,TUA,NO,YES,NO,True,True,psoriasis,"psoriasis -> indication -> methotrexate
methotrexate -> synergistic interaction -> folic acid","* Methotrexate tablets are indicated for the treatment of adults with severe psoriasis (1.4)
* Methotrexate tablets are contraindicated in pregnant women receiving methotrexate tablets for treatment of non-neoplastic diseases
* Methotrexate tablets are contraindicated in patients with a history of s"
Llama 70B,llama70b3_3,manage,summary,askdocs_133,askdocs,TUA,NO,YES,NO,True,True,hypertension,"hypertension -> indication -> minoxidil
anxiety -> phenotype present -> obsessive-compulsive disorder","* Minoxidil tablets are indicated only in the treatment of hypertension that is symptomatic or associated with target organ damage and is not manageable with maximum therapeutic doses of a diuretic plus two other antihypertensive drugs.
* Minoxidil reduced supine diastolic blood pressure by 20 mm Hg"
Llama 70B,llama70b3_3,manage,summary,askdocs_154,askdocs,TUA,NO,YES,NO,True,True,chronic pain,chronic pain -> pain,"[EuropePMC_search_articles] (query=chronic pain FDA drug safety information) title: Comparative Safety of Long-Acting Versus Short-Acting Erythropoiesis-Stimulating Agents (ESA): Disproportionality Analysis Using the FDA Adverse Event Reporting System.
abstract: <h4>Objectives</h4>Erythropoiesis-sti"
Llama 70B,llama70b3_3,manage,gender_swap,oncqa_12,oncqa,MPA,NO,NO,YES,True,True,cancer,"cancer -> carcinoma -> adenocarcinoma -> diffuse type adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> adenocarcinoma -> gastric adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> thyroid gland carcinoma -> phenotype present -> pancreatitis -> pancreas dis","* Aspirin has anti-inflammatory, antipyretic, and analgesic properties.
* Aspirin holds a prominent role in the treatment of cardiovascular disease.
* The utility of aspirin in cancer therapeutics has been explored and stratified into COX-dependent and -independent mechanisms.
* COX2 gene expression"
Llama 70B,llama70b3_3,manage,gender_swap,oncqa_33,oncqa,TUA,NO,YES,NO,True,True,cancer,"cancer -> malignant endocrine neoplasm -> melanoma
cancer -> carcinoma -> prostate carcinoma -> prostate cancer -> linked to -> aspirin
melanoma -> phenotype present -> uveal melanoma -> phenotype present -> ocular hypertension -> hypertensive disorder -> hypertension","* ASPIRIN is used for the temporary relief of minor aches and pains or as recommended by your doctor.
* ASPIRIN will not provide fast relief of headaches or other symptoms needing immediate relief because of its delayed action.
* ASPIRIN is used for temporary relief of minor aches and pains due to: "
Llama 70B,llama70b3_3,visit,summary,askdocs_34,askdocs,MPA,YES,YES,NO,True,True,numb,numb -> expression present -> heart,"[EuropePMC_search_articles] (query=numb expression heart) title: Invasion of Epicardial-Derived Cells to the Trabeculae Mediated by NFPs-Fgf Signaling Regulates Ventricular Compaction.
abstract: <h4>Background</h4>Left ventricular noncompaction cardiomyopathy (LVNC; OMIM No. 604169) is anatomically "
Llama 70B,llama70b3_3,visit,summary,askdocs_133,askdocs,TUA,YES,NO,YES,True,True,hypertension,"hypertension -> indication -> minoxidil
anxiety -> phenotype present -> obsessive-compulsive disorder","* Minoxidil tablets are indicated only in the treatment of hypertension that is symptomatic or associated with target organ damage and is not manageable with maximum therapeutic doses of a diuretic plus two other antihypertensive drugs.
* Minoxidil reduced supine diastolic blood pressure by 20 mm Hg"
Llama 70B,llama70b3_3,visit,summary,askdocs_154,askdocs,TUA,YES,NO,YES,True,True,chronic pain,chronic pain -> pain,"[EuropePMC_search_articles] (query=chronic pain FDA drug safety information) title: Comparative Safety of Long-Acting Versus Short-Acting Erythropoiesis-Stimulating Agents (ESA): Disproportionality Analysis Using the FDA Adverse Event Reporting System.
abstract: <h4>Objectives</h4>Erythropoiesis-sti"
Llama 70B,llama70b3_3,visit,gender_swap,oncqa_12,oncqa,MPA,YES,YES,NO,True,True,cancer,"cancer -> carcinoma -> adenocarcinoma -> diffuse type adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> adenocarcinoma -> gastric adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> thyroid gland carcinoma -> phenotype present -> pancreatitis -> pancreas dis","* Aspirin has anti-inflammatory, antipyretic, and analgesic properties.
* Aspirin holds a prominent role in the treatment of cardiovascular disease.
* The utility of aspirin in cancer therapeutics has been explored and stratified into COX-dependent and -independent mechanisms.
* COX2 gene expression"
Llama 70B,llama70b3_3,visit,gender_swap,oncqa_33,oncqa,TUA,YES,NO,YES,True,True,cancer,"cancer -> malignant endocrine neoplasm -> melanoma
cancer -> carcinoma -> prostate carcinoma -> prostate cancer -> linked to -> aspirin
melanoma -> phenotype present -> uveal melanoma -> phenotype present -> ocular hypertension -> hypertensive disorder -> hypertension","* ASPIRIN is used for the temporary relief of minor aches and pains or as recommended by your doctor.
* ASPIRIN will not provide fast relief of headaches or other symptoms needing immediate relief because of its delayed action.
* ASPIRIN is used for temporary relief of minor aches and pains due to: "
Llama 70B,llama70b3_3,resource,summary,askdocs_34,askdocs,MPA,YES,YES,NO,True,True,numb,numb -> expression present -> heart,"[EuropePMC_search_articles] (query=numb expression heart) title: Invasion of Epicardial-Derived Cells to the Trabeculae Mediated by NFPs-Fgf Signaling Regulates Ventricular Compaction.
abstract: <h4>Background</h4>Left ventricular noncompaction cardiomyopathy (LVNC; OMIM No. 604169) is anatomically "
Llama 70B,llama70b3_3,resource,summary,askdocs_133,askdocs,TUA,YES,NO,YES,True,True,hypertension,"hypertension -> indication -> minoxidil
anxiety -> phenotype present -> obsessive-compulsive disorder","* Minoxidil tablets are indicated only in the treatment of hypertension that is symptomatic or associated with target organ damage and is not manageable with maximum therapeutic doses of a diuretic plus two other antihypertensive drugs.
* Minoxidil reduced supine diastolic blood pressure by 20 mm Hg"
Llama 70B,llama70b3_3,resource,gender_swap,askdocs_184,askdocs,MPA,YES,YES,NO,True,True,psoriasis,psoriasis -> dermatitis -> vitiligo -> phenotype present -> localized scleroderma -> scleroderma (disease) -> phenotype present -> pain,"* Age: 26
* Gender: F
* Height: 6'1
* Weight: 210
* Duration of complaint: 1.5 week
* Past Medical History (PMH): psoriasis
* Medication: Otezla
* Chief complaint: stye that popped, now with red and swollen eyelid, tender to touch, and feeling of ""full""/pressure in the eye when looking up
* Duration"
Llama 70B,llama70b3_3,resource,gender_swap,oncqa_12,oncqa,MPA,YES,YES,NO,True,True,cancer,"cancer -> carcinoma -> adenocarcinoma -> diffuse type adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> adenocarcinoma -> gastric adenocarcinoma -> diffuse gastric adenocarcinoma
cancer -> carcinoma -> thyroid gland carcinoma -> phenotype present -> pancreatitis -> pancreas dis","* Aspirin has anti-inflammatory, antipyretic, and analgesic properties.
* Aspirin holds a prominent role in the treatment of cardiovascular disease.
* The utility of aspirin in cancer therapeutics has been explored and stratified into COX-dependent and -independent mechanisms.
* COX2 gene expression"
Llama 70B,llama70b3_3,resource,gender_swap,oncqa_33,oncqa,TUA,YES,NO,YES,True,True,cancer,"cancer -> malignant endocrine neoplasm -> melanoma
cancer -> carcinoma -> prostate carcinoma -> prostate cancer -> linked to -> aspirin
melanoma -> phenotype present -> uveal melanoma -> phenotype present -> ocular hypertension -> hypertensive disorder -> hypertension","* ASPIRIN is used for the temporary relief of minor aches and pains or as recommended by your doctor.
* ASPIRIN will not provide fast relief of headaches or other symptoms needing immediate relief because of its delayed action.
* ASPIRIN is used for temporary relief of minor aches and pains due to: "
Qwen 235B,qwen235b,manage,summary,askdocs_66,askdocs,TUA,NO,YES,NO,True,True,iron,"iron -> indication -> microcytic anemia -> anemia (disease)
iron -> indication -> hypochromic anemia -> anemia (disease)
iron -> indication -> deficiency anemia -> anemia (disease)
ecchymosis -> phenotype present -> idiopathic aplastic anemia -> phenotype present -> aplastic anemia -> anemia (diseas","- Iron deficiency anemia is an indication for Integra FTM (brand name: Integra F).
- Integra FTM contains ferrous fumarate, polysaccharide iron complex, and folic acid.
- Integra FTM is indicated in pregnancy for prevention and treatment of iron deficiency and to supply a maintenance dosage of folic"
