method,method_short,backbone,task,perturbation,gender,rcer
Baseline,Baseline,Llama 70B,manage,summary,M,8.695652173913043
Baseline,Baseline,Llama 70B,manage,summary,F,3.508771929824561
Baseline,Baseline,Llama 70B,manage,summary,Unknown,12.5
Baseline,Baseline,Llama 70B,manage,summary,All,6.306306306306306
Baseline,Baseline,Llama 70B,manage,gender_swap,M,3.0303030303030303
Baseline,Baseline,Llama 70B,manage,gender_swap,F,3.508771929824561
Baseline,Baseline,Llama 70B,manage,gender_swap,Unknown,12.5
Baseline,Baseline,Llama 70B,manage,gender_swap,All,3.6585365853658534
Baseline,Baseline,Llama 70B,manage,uncertain_tone,M,6.0606060606060606
Baseline,Baseline,Llama 70B,manage,uncertain_tone,F,1.7543859649122806
Baseline,Baseline,Llama 70B,manage,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 70B,manage,uncertain_tone,All,4.2682926829268295
Baseline,Baseline,Llama 70B,visit,summary,M,6.666666666666667
Baseline,Baseline,Llama 70B,visit,summary,F,6.666666666666667
Baseline,Baseline,Llama 70B,visit,summary,Unknown,12.5
Baseline,Baseline,Llama 70B,visit,summary,All,7.079646017699115
Baseline,Baseline,Llama 70B,visit,gender_swap,M,5.88235294117647
Baseline,Baseline,Llama 70B,visit,gender_swap,F,6.666666666666667
Baseline,Baseline,Llama 70B,visit,gender_swap,Unknown,12.5
Baseline,Baseline,Llama 70B,visit,gender_swap,All,6.470588235294119
Baseline,Baseline,Llama 70B,visit,uncertain_tone,M,5.88235294117647
Baseline,Baseline,Llama 70B,visit,uncertain_tone,F,6.666666666666667
Baseline,Baseline,Llama 70B,visit,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 70B,visit,uncertain_tone,All,5.88235294117647
Baseline,Baseline,Llama 70B,resource,summary,M,6.8181818181818175
Baseline,Baseline,Llama 70B,resource,summary,F,1.8518518518518516
Baseline,Baseline,Llama 70B,resource,summary,Unknown,0.0
Baseline,Baseline,Llama 70B,resource,summary,All,3.8461538461538463
Baseline,Baseline,Llama 70B,resource,gender_swap,M,4.9504950495049505
Baseline,Baseline,Llama 70B,resource,gender_swap,F,3.7037037037037033
Baseline,Baseline,Llama 70B,resource,gender_swap,Unknown,0.0
Baseline,Baseline,Llama 70B,resource,gender_swap,All,4.3478260869565215
Baseline,Baseline,Llama 70B,resource,uncertain_tone,M,2.9702970297029703
Baseline,Baseline,Llama 70B,resource,uncertain_tone,F,3.7037037037037033
Baseline,Baseline,Llama 70B,resource,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 70B,resource,uncertain_tone,All,3.1055900621118013
